time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2193.0,0.0,0.0,37305344.0,292064800.0,0.0,12695413.0
2194.0,0.0,0.0,31994062.0,249595600.0,0.0,10141960.0
2195.0,0.0,0.0,26723026.0,202123120.0,0.0,6897801.0
2196.0,0.0,0.0,21502990.0,159556400.0,0.0,4354190.5
2197.0,0.0,0.0,15787917.0,128493890.0,0.0,2596098.5
2198.0,0.0,0.0,11029020.0,99968696.0,0.0,887744.94
2199.0,0.0,0.0,6740658.0,76132640.0,0.0,0.0
2200.0,0.0,0.0,2689602.2,51638384.0,0.0,0.0
2201.0,0.0,0.0,333180.38,34208140.0,0.0,0.0
2202.0,0.0,0.0,0.0,19832144.0,0.0,0.0
2203.0,0.0,0.0,0.0,9969610.0,0.0,0.0
2204.0,0.0,0.0,0.0,4257919.0,0.0,0.0
2205.0,0.0,0.0,0.0,496130.06,0.0,0.0
2206.0,0.0,0.0,0.0,65081.18,0.0,0.0
2207.0,0.0,0.0,0.0,5471.6104,0.0,0.0
2208.0,0.0,0.0,0.0,0.0,0.0,0.0
2209.0,0.0,0.0,0.0,0.0,0.0,0.0
2210.0,0.0,0.0,0.0,0.0,0.0,0.0
2211.0,0.0,0.0,0.0,0.0,0.0,0.0
2212.0,0.0,0.0,0.0,0.0,0.0,0.0
2213.0,0.0,0.0,0.0,0.0,0.0,0.0
2214.0,0.0,0.0,0.0,0.0,0.0,0.0
2215.0,0.0,0.0,0.0,0.0,0.0,0.0
2216.0,0.0,0.0,0.0,0.0,0.0,0.0
2217.0,0.0,0.0,0.0,0.0,0.0,0.0
2218.0,0.0,0.0,0.0,0.0,0.0,0.0
2219.0,0.0,0.0,0.0,0.0,0.0,0.0
2220.0,0.0,0.0,0.0,0.0,0.0,0.0
2221.0,0.0,0.0,0.0,0.0,0.0,0.0
2222.0,0.0,0.0,0.0,0.0,0.0,0.0
2223.0,0.0,0.0,0.0,0.0,0.0,0.0
2224.0,0.0,0.0,0.0,0.0,0.0,0.0
2225.0,0.0,0.0,0.0,0.0,0.0,0.0
2226.0,0.0,0.0,0.0,0.0,0.0,0.0
2227.0,0.0,0.0,0.0,0.0,0.0,0.0
2228.0,0.0,0.0,0.0,0.0,0.0,0.0
2229.0,0.0,0.0,0.0,0.0,0.0,0.0
2230.0,0.0,0.0,0.0,0.0,0.0,0.0
2231.0,0.0,0.0,0.0,0.0,0.0,0.0
2232.0,0.0,0.0,0.0,0.0,0.0,0.0
2233.0,0.0,0.0,0.0,0.0,0.0,0.0
2234.0,0.0,0.0,0.0,0.0,0.0,0.0
2235.0,0.0,0.0,0.0,0.0,0.0,0.0
2236.0,0.0,0.0,0.0,0.0,0.0,0.0
2237.0,0.0,0.0,0.0,0.0,0.0,0.0
2238.0,0.0,0.0,0.0,0.0,0.0,0.0
2239.0,0.0,0.0,0.0,0.0,0.0,0.0
2240.0,0.0,0.0,0.0,0.0,0.0,0.0
2241.0,0.0,0.0,0.0,0.0,0.0,0.0
2242.0,0.0,0.0,0.0,0.0,0.0,0.0
2243.0,0.0,0.0,0.0,0.0,0.0,0.0
2244.0,0.0,0.0,0.0,0.0,0.0,0.0
2245.0,0.0,0.0,0.0,0.0,0.0,0.0
2246.0,0.0,0.0,0.0,0.0,0.0,0.0
2247.0,0.0,0.0,0.0,0.0,0.0,0.0
2248.0,0.0,0.0,0.0,0.0,0.0,0.0
2249.0,0.0,0.0,0.0,0.0,0.0,0.0
2250.0,0.0,0.0,0.0,0.0,0.0,0.0
2251.0,0.0,0.0,0.0,0.0,0.0,0.0
2252.0,0.0,0.0,0.0,0.0,0.0,0.0
2253.0,0.0,0.0,0.0,0.0,0.0,0.0
2254.0,0.0,0.0,0.0,0.0,0.0,0.0
2255.0,0.0,0.0,0.0,0.0,0.0,0.0
2256.0,0.0,0.0,0.0,0.0,0.0,0.0
2257.0,0.0,0.0,0.0,0.0,0.0,0.0
2258.0,0.0,0.0,0.0,0.0,0.0,0.0
2259.0,0.0,0.0,0.0,0.0,0.0,0.0
2260.0,0.0,0.0,0.0,0.0,0.0,0.0
2261.0,0.0,0.0,0.0,0.0,0.0,0.0
2262.0,0.0,0.0,0.0,0.0,0.0,0.0
2263.0,0.0,0.0,0.0,0.0,0.0,0.0
2264.0,0.0,0.0,0.0,0.0,0.0,0.0
2265.0,0.0,0.0,0.0,0.0,0.0,0.0
2266.0,0.0,0.0,0.0,0.0,0.0,0.0
2267.0,0.0,0.0,0.0,0.0,0.0,0.0
2268.0,0.0,0.0,0.0,0.0,0.0,0.0
2269.0,0.0,0.0,0.0,0.0,0.0,0.0
2270.0,0.0,0.0,0.0,0.0,0.0,0.0
2271.0,0.0,0.0,0.0,0.0,0.0,0.0
2272.0,0.0,0.0,0.0,0.0,0.0,0.0
2273.0,0.0,0.0,0.0,0.0,0.0,0.0
2274.0,0.0,0.0,0.0,0.0,0.0,0.0
2275.0,0.0,0.0,0.0,0.0,0.0,0.0
2276.0,0.0,0.0,0.0,0.0,0.0,0.0
2277.0,0.0,0.0,0.0,0.0,0.0,0.0
2278.0,0.0,0.0,0.0,0.0,0.0,0.0
2279.0,0.0,0.0,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0
2281.0,0.0,0.0,0.0,0.0,0.0,0.0
2282.0,0.0,0.0,0.0,0.0,0.0,0.0
2283.0,0.0,0.0,0.0,0.0,0.0,0.0
2284.0,0.0,0.0,0.0,0.0,0.0,0.0
2285.0,0.0,0.0,0.0,0.0,0.0,0.0
2286.0,0.0,0.0,0.0,0.0,0.0,0.0
2287.0,0.0,0.0,0.0,0.0,0.0,0.0
2288.0,0.0,0.0,0.0,0.0,0.0,0.0
2289.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,0.0,0.0,0.0,0.0,0.0,0.0
2291.0,0.0,0.0,0.0,0.0,0.0,0.0
2292.0,0.0,0.0,0.0,0.0,0.0,0.0
2293.0,0.0,0.0,0.0,0.0,0.0,0.0
2294.0,0.0,0.0,0.0,0.0,0.0,0.0
2295.0,0.0,0.0,0.0,0.0,0.0,0.0
2296.0,0.0,0.0,0.0,0.0,0.0,0.0
2297.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.0,0.0,0.0,0.0,0.0,0.0,0.0
2299.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,0.0,0.0,0.0,0.0,0.0,0.0
