time,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CANESM2,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,CNRM-CM5
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26646310000000.0,26767070000000.0,26756113000000.0,26705526000000.0,26811734000000.0,26775887000000.0,26713822000000.0,26763550000000.0,26693524000000.0,26748780000000.0,26734500000000.0
2022.0,26579479000000.0,26724713000000.0,26643029000000.0,26664969000000.0,26683896000000.0,26710632000000.0,26734347000000.0,26704480000000.0,26641235000000.0,26675197000000.0,26703129000000.0
2023.0,26469504000000.0,26737220000000.0,26521970000000.0,26615780000000.0,26608923000000.0,26687987000000.0,26705756000000.0,26621667000000.0,26613200000000.0,26660074000000.0,26668264000000.0
2024.0,26457693000000.0,26698570000000.0,26361607000000.0,26515408000000.0,26611684000000.0,26677040000000.0,26737868000000.0,26628722000000.0,26483940000000.0,26634040000000.0,26618058000000.0
2025.0,26390546000000.0,26639482000000.0,26224280000000.0,26451642000000.0,26549466000000.0,26662318000000.0,26616360000000.0,26622225000000.0,26457393000000.0,26608593000000.0,26613962000000.0
2026.0,26338457000000.0,26531350000000.0,26169735000000.0,26408405000000.0,26477730000000.0,26604592000000.0,26582255000000.0,26570849000000.0,26401808000000.0,26541868000000.0,26445621000000.0
2027.0,26297693000000.0,26506500000000.0,26054730000000.0,26223160000000.0,26461556000000.0,26531380000000.0,26471114000000.0,26492694000000.0,26308625000000.0,26505128000000.0,26409953000000.0
2028.0,26215465000000.0,26380759000000.0,25959644000000.0,26155359000000.0,26507550000000.0,26508943000000.0,26355176000000.0,26471412000000.0,26333330000000.0,26488972000000.0,26429757000000.0
2029.0,26164354000000.0,26336328000000.0,25873502000000.0,26153585000000.0,26478373000000.0,26484884000000.0,26303950000000.0,26437415000000.0,26305494000000.0,26456162000000.0,26317368000000.0
2030.0,26086017000000.0,26217766000000.0,25724279000000.0,26117650000000.0,26450570000000.0,26511399000000.0,26172975000000.0,26296898000000.0,26241418000000.0,26421703000000.0,26150575000000.0
2031.0,26018160000000.0,26186632000000.0,25594203000000.0,26076844000000.0,26341095000000.0,26464198000000.0,26186869000000.0,26274079000000.0,26152450000000.0,26378173000000.0,26073080000000.0
2032.0,25941602000000.0,26210443000000.0,25446473000000.0,25985492000000.0,26340063000000.0,26458437000000.0,26120290000000.0,26198670000000.0,26153757000000.0,26283315000000.0,26041836000000.0
2033.0,25865927000000.0,26199740000000.0,25274100000000.0,25958608000000.0,26299940000000.0,26407610000000.0,26011830000000.0,26104826000000.0,26098386000000.0,26213488000000.0,25988176000000.0
2034.0,25803622000000.0,26112344000000.0,25156542000000.0,25901362000000.0,26272609000000.0,26327497000000.0,25892955000000.0,26001583000000.0,26119141000000.0,26122457000000.0,25926880000000.0
2035.0,25661964000000.0,26098409000000.0,25069332000000.0,25803897000000.0,26126097000000.0,26299160000000.0,25729364000000.0,25996365000000.0,26043367000000.0,26127393000000.0,25827630000000.0
2036.0,25611676000000.0,26013312000000.0,24917397000000.0,25752213000000.0,26049123000000.0,26260628000000.0,25624985000000.0,25948768000000.0,26039267000000.0,26055667000000.0,25761514000000.0
2037.0,25515290000000.0,25996846000000.0,24700776000000.0,25627724000000.0,25990055000000.0,26237188000000.0,25606600000000.0,25933635000000.0,25984206000000.0,25986364000000.0,25727700000000.0
2038.0,25432328000000.0,25956520000000.0,24502472000000.0,25533390000000.0,25922856000000.0,26195272000000.0,25565370000000.0,25865348000000.0,25927937000000.0,25946684000000.0,25721389000000.0
2039.0,25371515000000.0,25942062000000.0,24264556000000.0,25468447000000.0,25836061000000.0,26174921000000.0,25456649000000.0,25800905000000.0,25887748000000.0,25915252000000.0,25607774000000.0
2040.0,25291315000000.0,25820760000000.0,24077692000000.0,25396210000000.0,25789364000000.0,26140492000000.0,25412764000000.0,25732892000000.0,25809853000000.0,25909313000000.0,25471438000000.0
2041.0,25135826000000.0,25773558000000.0,23877185000000.0,25307166000000.0,25764678000000.0,26088147000000.0,25346244000000.0,25659124000000.0,25727418000000.0,25849300000000.0,25419502000000.0
2042.0,25056936000000.0,25710211000000.0,23687527000000.0,25201530000000.0,25719877000000.0,25971256000000.0,25172537000000.0,25593117000000.0,25663450000000.0,25742120000000.0,25293612000000.0
2043.0,24985190000000.0,25726347000000.0,23542895000000.0,25149447000000.0,25603204000000.0,26018633000000.0,25038660000000.0,25547998000000.0,25609160000000.0,25704012000000.0,25237895000000.0
2044.0,24904230000000.0,25582713000000.0,23363390000000.0,25179617000000.0,25574769000000.0,26022630000000.0,24822545000000.0,25549448000000.0,25531687000000.0,25710230000000.0,25161063000000.0
2045.0,24819050000000.0,25575788000000.0,23140105000000.0,25077366000000.0,25583044000000.0,25955194000000.0,24690450000000.0,25511841000000.0,25473124000000.0,25616990000000.0,25086933000000.0
2046.0,24764280000000.0,25495950000000.0,22966333000000.0,25012887000000.0,25511410000000.0,25929024000000.0,24550423000000.0,25441467000000.0,25379010000000.0,25531390000000.0,24973590000000.0
2047.0,24659978000000.0,25418248000000.0,22817310000000.0,24944862000000.0,25392564000000.0,25792620000000.0,24513370000000.0,25409720000000.0,25229361000000.0,25427253000000.0,24869014000000.0
2048.0,24526396000000.0,25283464000000.0,22632129000000.0,24824072000000.0,25355052000000.0,25610934000000.0,24426064000000.0,25320151000000.0,25194030000000.0,25342687000000.0,24830624000000.0
2049.0,24465811000000.0,25229820000000.0,22468679000000.0,24760994000000.0,25253963000000.0,25549118000000.0,24301350000000.0,25273215000000.0,25130818000000.0,25266980000000.0,24770268000000.0
2050.0,24410170000000.0,25113560000000.0,22322970000000.0,24702842000000.0,25245038000000.0,25531110000000.0,24087477000000.0,25209931000000.0,25050023000000.0,25237305000000.0,24676963000000.0
2051.0,24369915000000.0,24948570000000.0,22111953000000.0,24593442000000.0,25188800000000.0,25442201000000.0,23921236000000.0,25138095000000.0,25002401000000.0,25183280000000.0,24661048000000.0
2052.0,24276801000000.0,24871526000000.0,21909249000000.0,24523378000000.0,25168890000000.0,25413347000000.0,23845547000000.0,25069190000000.0,24919048000000.0,25115530000000.0,24567144000000.0
2053.0,24181173000000.0,24787120000000.0,21685380000000.0,24408240000000.0,25053234000000.0,25391637000000.0,23754980000000.0,25015605000000.0,24847883000000.0,25067103000000.0,24444010000000.0
2054.0,24078590000000.0,24743728000000.0,21439346000000.0,24250760000000.0,24988350000000.0,25324476000000.0,23684826000000.0,24948788000000.0,24725140000000.0,24991041000000.0,24319904000000.0
2055.0,23940680000000.0,24643335000000.0,21225967000000.0,24200706000000.0,24873640000000.0,25284613000000.0,23534584000000.0,24869622000000.0,24687568000000.0,24971345000000.0,24249540000000.0
2056.0,23735671000000.0,24552678000000.0,20949947000000.0,24128256000000.0,24819247000000.0,25197780000000.0,23385283000000.0,24795530000000.0,24655929000000.0,24931262000000.0,24145367000000.0
2057.0,23623182000000.0,24459845000000.0,20741014000000.0,24040180000000.0,24676110000000.0,25093112000000.0,23232718000000.0,24707036000000.0,24583592000000.0,24828273000000.0,24109461000000.0
2058.0,23389786000000.0,24396756000000.0,20578130000000.0,23953744000000.0,24654759000000.0,25111250000000.0,23124683000000.0,24628480000000.0,24496591000000.0,24791858000000.0,24030673000000.0
2059.0,23245310000000.0,24339265000000.0,20394055000000.0,23847640000000.0,24571919000000.0,25005876000000.0,23036959000000.0,24508890000000.0,24366444000000.0,24771080000000.0,23918904000000.0
2060.0,23142106000000.0,24301762000000.0,20194815000000.0,23784140000000.0,24457786000000.0,24908552000000.0,22860957000000.0,24433893000000.0,24317406000000.0,24710463000000.0,23812911000000.0
2061.0,23010866000000.0,24307606000000.0,19977086000000.0,23644360000000.0,24396754000000.0,24839528000000.0,22702803000000.0,24338695000000.0,24134050000000.0,24659293000000.0,23744060000000.0
2062.0,22908250000000.0,24270367000000.0,19771177000000.0,23625902000000.0,24284815000000.0,24828575000000.0,22654858000000.0,24248622000000.0,24088572000000.0,24628374000000.0,23600883000000.0
2063.0,22786148000000.0,24119990000000.0,19541390000000.0,23555287000000.0,24289512000000.0,24834103000000.0,22615062000000.0,24152380000000.0,24006420000000.0,24613845000000.0,23481956000000.0
2064.0,22691920000000.0,24010413000000.0,19245920000000.0,23535014000000.0,24212377000000.0,24794437000000.0,22538950000000.0,24082016000000.0,23889760000000.0,24575627000000.0,23393429000000.0
2065.0,22614085000000.0,23944973000000.0,19023213000000.0,23493324000000.0,24158166000000.0,24672444000000.0,22400167000000.0,23959297000000.0,23823986000000.0,24529275000000.0,23261020000000.0
2066.0,22473253000000.0,23931098000000.0,18801290000000.0,23424380000000.0,24118255000000.0,24592565000000.0,22364010000000.0,23972910000000.0,23687490000000.0,24454703000000.0,23172531000000.0
2067.0,22365501000000.0,23883504000000.0,18562041000000.0,23349580000000.0,24120272000000.0,24558107000000.0,22309744000000.0,23915645000000.0,23581610000000.0,24392258000000.0,23078235000000.0
2068.0,22220930000000.0,23844998000000.0,18285530000000.0,23353847000000.0,24053680000000.0,24474827000000.0,22283414000000.0,23817582000000.0,23504458000000.0,24313304000000.0,23012376000000.0
2069.0,22096990000000.0,23732314000000.0,18054004000000.0,23233361000000.0,24064654000000.0,24411462000000.0,22091166000000.0,23694672000000.0,23396035000000.0,24274983000000.0,22984260000000.0
2070.0,21962470000000.0,23701278000000.0,17841320000000.0,23161865000000.0,23964697000000.0,24380720000000.0,21960424000000.0,23663846000000.0,23308720000000.0,24223743000000.0,22943971000000.0
2071.0,21835228000000.0,23631099000000.0,17607829000000.0,23073028000000.0,23886633000000.0,24378420000000.0,21841467000000.0,23563820000000.0,23268057000000.0,24200826000000.0,22856497000000.0
2072.0,21694882000000.0,23588583000000.0,17425475000000.0,22988930000000.0,23783696000000.0,24392060000000.0,21727105000000.0,23481140000000.0,23149702000000.0,24117758000000.0,22815634000000.0
2073.0,21484565000000.0,23447699000000.0,17187978000000.0,22846787000000.0,23696500000000.0,24353698000000.0,21617703000000.0,23434336000000.0,23079877000000.0,23990104000000.0,22781360000000.0
2074.0,21447469000000.0,23377994000000.0,16968709000000.0,22731190000000.0,23659027000000.0,24278412000000.0,21530224000000.0,23337100000000.0,22967518000000.0,23991792000000.0,22682872000000.0
2075.0,21308732000000.0,23285228000000.0,16724005000000.0,22696740000000.0,23545212000000.0,24167716000000.0,21352518000000.0,23226464000000.0,22851382000000.0,23906623000000.0,22596672000000.0
2076.0,21182915000000.0,23264288000000.0,16554858000000.0,22664433000000.0,23482981000000.0,24060984000000.0,21194512000000.0,23147925000000.0,22745918000000.0,23853156000000.0,22540011000000.0
2077.0,21037016000000.0,23230725000000.0,16391999000000.0,22628912000000.0,23375083000000.0,24063740000000.0,21096045000000.0,23076170000000.0,22662982000000.0,23790635000000.0,22420916000000.0
2078.0,20886485000000.0,23148666000000.0,16137442000000.0,22571578000000.0,23352714000000.0,23966928000000.0,20922545000000.0,22918757000000.0,22575663000000.0,23696897000000.0,22303574000000.0
2079.0,20817178000000.0,23097615000000.0,15906696000000.0,22524486000000.0,23290056000000.0,23842076000000.0,20882186000000.0,22813060000000.0,22485210000000.0,23638227000000.0,22190590000000.0
2080.0,20739753000000.0,22991230000000.0,15707170000000.0,22429185000000.0,23207153000000.0,23775148000000.0,20741018000000.0,22799000000000.0,22431492000000.0,23624203000000.0,22208080000000.0
2081.0,20672170000000.0,22888500000000.0,15473907000000.0,22358434000000.0,23149402000000.0,23755831000000.0,20550650000000.0,22707570000000.0,22369865000000.0,23564970000000.0,22146454000000.0
2082.0,20529707000000.0,22778793000000.0,15235042000000.0,22280294000000.0,23046637000000.0,23745641000000.0,20445820000000.0,22574608000000.0,22279822000000.0,23496030000000.0,21981270000000.0
2083.0,20367945000000.0,22593004000000.0,15012942000000.0,22232535000000.0,22997902000000.0,23708683000000.0,20321892000000.0,22504085000000.0,22154435000000.0,23440724000000.0,21910298000000.0
2084.0,20217230000000.0,22598056000000.0,14766196000000.0,22144434000000.0,22914884000000.0,23647360000000.0,20168370000000.0,22392148000000.0,22053525000000.0,23426920000000.0,21701287000000.0
2085.0,20109930000000.0,22558039000000.0,14538919000000.0,22066997000000.0,22770103000000.0,23583428000000.0,20062540000000.0,22287580000000.0,21972153000000.0,23345448000000.0,21517980000000.0
2086.0,19986990000000.0,22517593000000.0,14301869000000.0,21938900000000.0,22662693000000.0,23449947000000.0,19881080000000.0,22221255000000.0,21891889000000.0,23249264000000.0,21453072000000.0
2087.0,19840400000000.0,22493113000000.0,14088585000000.0,21784800000000.0,22502162000000.0,23365188000000.0,19754385000000.0,22132220000000.0,21770485000000.0,23245395000000.0,21376277000000.0
2088.0,19706500000000.0,22488619000000.0,13796873000000.0,21632400000000.0,22387695000000.0,23299503000000.0,19627489000000.0,22101677000000.0,21677937000000.0,23238132000000.0,21246861000000.0
2089.0,19536961000000.0,22445478000000.0,13616075000000.0,21483920000000.0,22239597000000.0,23223750000000.0,19476156000000.0,21984633000000.0,21533836000000.0,23205773000000.0,21188940000000.0
2090.0,19426487000000.0,22411540000000.0,13474580000000.0,21414208000000.0,22148679000000.0,23151736000000.0,19357655000000.0,21909679000000.0,21394067000000.0,23170965000000.0,21036817000000.0
2091.0,19296552000000.0,22364752000000.0,13302211000000.0,21385360000000.0,22022150000000.0,23056307000000.0,19297311000000.0,21853735000000.0,21314350000000.0,23103290000000.0,20890601000000.0
2092.0,19228007000000.0,22328320000000.0,13142105000000.0,21303025000000.0,21973764000000.0,23012894000000.0,19132630000000.0,21747567000000.0,21201133000000.0,23022495000000.0,20720885000000.0
2093.0,19134855000000.0,22294397000000.0,12958596000000.0,21272900000000.0,21820140000000.0,22951571000000.0,19024400000000.0,21637180000000.0,21078393000000.0,23009994000000.0,20713071000000.0
2094.0,19000526000000.0,22253733000000.0,12742743000000.0,21129656000000.0,21685783000000.0,22916159000000.0,18939579000000.0,21602448000000.0,21012645000000.0,22929467000000.0,20588561000000.0
2095.0,18893003000000.0,22162308000000.0,12605596000000.0,20984350000000.0,21654573000000.0,22814925000000.0,18826717000000.0,21469828000000.0,20950708000000.0,22836855000000.0,20515131000000.0
2096.0,18740178000000.0,22065243000000.0,12458917000000.0,20900559000000.0,21577807000000.0,22768767000000.0,18796170000000.0,21375633000000.0,20848732000000.0,22759930000000.0,20484601000000.0
2097.0,18607460000000.0,21979462000000.0,12331484000000.0,20820364000000.0,21562630000000.0,22756142000000.0,18709574000000.0,21302035000000.0,20740848000000.0,22719050000000.0,20406954000000.0
2098.0,18450395000000.0,21915362000000.0,12199445000000.0,20783024000000.0,21475919000000.0,22730980000000.0,18620153000000.0,21229530000000.0,20652120000000.0,22613083000000.0,20359712000000.0
2099.0,18336264000000.0,21869558000000.0,11998630000000.0,20628957000000.0,21296170000000.0,22608280000000.0,18648260000000.0,21157892000000.0,20561512000000.0,22607990000000.0,20286404000000.0
2100.0,18217492000000.0,21835980000000.0,11777051000000.0,20492417000000.0,21316697000000.0,22540588000000.0,18509283000000.0,21101202000000.0,20466566000000.0,22567027000000.0,20239348000000.0
