time,CANESM5,CESM2-WACCM,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3050888800000.0,3067336000000.0,3060189600000.0,3068159600000.0,3067732600000.0,3082314800000.0
2022.0,3005693000000.0,3032350700000.0,3039517200000.0,3032308000000.0,3030100700000.0,3066229200000.0
2023.0,2946724500000.0,2990403000000.0,2989592700000.0,2988139600000.0,2994920800000.0,3059727700000.0
2024.0,2888642300000.0,2956843300000.0,2950874300000.0,2964604300000.0,2961107800000.0,3027527500000.0
2025.0,2832681100000.0,2924448300000.0,2910597400000.0,2928000400000.0,2917841200000.0,3009544200000.0
2026.0,2760465400000.0,2879909800000.0,2884221300000.0,2887138000000.0,2883993000000.0,2987074800000.0
2027.0,2706512000000.0,2859034000000.0,2838634700000.0,2837764400000.0,2846880200000.0,2957387200000.0
2028.0,2656455400000.0,2816524000000.0,2801622800000.0,2786772000000.0,2836838200000.0,2940956300000.0
2029.0,2589643200000.0,2788016300000.0,2754358000000.0,2746141000000.0,2782036200000.0,2914280000000.0
2030.0,2527979400000.0,2747055000000.0,2718547000000.0,2723187800000.0,2741983200000.0,2888844400000.0
2031.0,2459653000000.0,2726109000000.0,2688144400000.0,2678261500000.0,2697937600000.0,2871254300000.0
2032.0,2403033400000.0,2694527800000.0,2654846600000.0,2633300000000.0,2650714000000.0,2842177300000.0
2033.0,2343175500000.0,2653745600000.0,2608585800000.0,2579853200000.0,2612352800000.0,2796867300000.0
2034.0,2283768000000.0,2630055600000.0,2567462500000.0,2528003500000.0,2586724000000.0,2747706000000.0
2035.0,2214038900000.0,2601618200000.0,2524587800000.0,2472865400000.0,2550439600000.0,2705655600000.0
2036.0,2166541000000.0,2569566000000.0,2477999000000.0,2429994400000.0,2507493000000.0,2671078000000.0
2037.0,2094188300000.0,2539697000000.0,2434115000000.0,2389376800000.0,2468429700000.0,2645942300000.0
2038.0,2032078600000.0,2500291700000.0,2382726000000.0,2334002500000.0,2422289500000.0,2623288600000.0
2039.0,1958905800000.0,2451863200000.0,2315301700000.0,2300705200000.0,2377921900000.0,2577573300000.0
2040.0,1913832300000.0,2401110600000.0,2275533000000.0,2251513000000.0,2338596300000.0,2537235700000.0
2041.0,1852355200000.0,2343089000000.0,2229809700000.0,2201614500000.0,2303812400000.0,2489630900000.0
2042.0,1791134700000.0,2310971000000.0,2198780100000.0,2152719800000.0,2260594600000.0,2449728600000.0
2043.0,1726487300000.0,2262010400000.0,2146508700000.0,2093241500000.0,2209746500000.0,2404697800000.0
2044.0,1659179200000.0,2212668600000.0,2101398500000.0,2042056700000.0,2167771400000.0,2323203800000.0
2045.0,1612919500000.0,2169707400000.0,2053244200000.0,1994334300000.0,2120494100000.0,2252161700000.0
2046.0,1560089900000.0,2133584500000.0,2005266700000.0,1945305100000.0,2080511500000.0,2199173200000.0
2047.0,1496739300000.0,2075864900000.0,1955076000000.0,1912829100000.0,2004446300000.0,2138537000000.0
2048.0,1436509000000.0,2038751200000.0,1913999700000.0,1850492000000.0,1961206700000.0,2079866900000.0
2049.0,1372563700000.0,1998407100000.0,1864813800000.0,1797220000000.0,1921456400000.0,2008266600000.0
2050.0,1320417400000.0,1957258500000.0,1823482400000.0,1759332500000.0,1867545300000.0,1936395300000.0
2051.0,1277283500000.0,1920019200000.0,1781661700000.0,1716971800000.0,1816761100000.0,1868263300000.0
2052.0,1223125100000.0,1860188000000.0,1742421200000.0,1677049500000.0,1766712800000.0,1815116100000.0
2053.0,1171601800000.0,1806357800000.0,1694892200000.0,1635550800000.0,1733529600000.0,1751871400000.0
2054.0,1119656700000.0,1778234700000.0,1668718800000.0,1593854800000.0,1696377500000.0,1689785300000.0
2055.0,1069519300000.0,1723021800000.0,1624565700000.0,1554715500000.0,1644220900000.0,1637893800000.0
2056.0,1019605550000.0,1673873700000.0,1585819200000.0,1522565600000.0,1594485500000.0,1583212900000.0
2057.0,975181400000.0,1643540800000.0,1548507700000.0,1480732400000.0,1563317800000.0,1531739500000.0
2058.0,931385000000.0,1605482800000.0,1508832200000.0,1441319100000.0,1515070600000.0,1484038600000.0
2059.0,884425950000.0,1554556100000.0,1468809100000.0,1398433900000.0,1474401100000.0,1428560700000.0
2060.0,841882400000.0,1514595200000.0,1430126200000.0,1362403300000.0,1438963900000.0,1378793700000.0
2061.0,799518600000.0,1463997700000.0,1388433400000.0,1324925600000.0,1392985600000.0,1338529400000.0
2062.0,759176230000.0,1423831100000.0,1344330400000.0,1279807300000.0,1345956700000.0,1298368700000.0
2063.0,728750750000.0,1392919800000.0,1306663600000.0,1246364200000.0,1306534900000.0,1253969600000.0
2064.0,692297500000.0,1353732000000.0,1260583100000.0,1211617900000.0,1272936500000.0,1213706500000.0
2065.0,656592400000.0,1323132100000.0,1232330700000.0,1175163200000.0,1218812200000.0,1171648300000.0
2066.0,615445600000.0,1293238400000.0,1200131100000.0,1136117700000.0,1170193600000.0,1132961300000.0
2067.0,583543400000.0,1253779000000.0,1170388400000.0,1087860300000.0,1135269100000.0,1098363800000.0
2068.0,553923050000.0,1212425200000.0,1129410900000.0,1053381170000.0,1088589400000.0,1058458900000.0
2069.0,519130380000.0,1183129700000.0,1103090300000.0,1018361300000.0,1048757700000.0,1021104160000.0
2070.0,488176250000.0,1145979000000.0,1071620160000.0,980834600000.0,1008867930000.0,979308400000.0
2071.0,459239400000.0,1110752000000.0,1040914000000.0,941540700000.0,966914500000.0,943212460000.0
2072.0,432865020000.0,1076430700000.0,1010402260000.0,905154900000.0,928988000000.0,906956000000.0
2073.0,405066400000.0,1042655350000.0,985760100000.0,868752950000.0,886101970000.0,869808500000.0
2074.0,383865200000.0,1006621200000.0,959492100000.0,838911260000.0,851470300000.0,837876600000.0
2075.0,358819430000.0,971513500000.0,932059400000.0,805655740000.0,821898100000.0,805775800000.0
2076.0,337794630000.0,940232200000.0,898499150000.0,767028800000.0,787550960000.0,771165100000.0
2077.0,319175660000.0,908796500000.0,876123200000.0,736317150000.0,758105050000.0,739640600000.0
2078.0,305123920000.0,872671150000.0,846750500000.0,711285150000.0,728305400000.0,710782940000.0
2079.0,288576140000.0,842805400000.0,815558400000.0,679558500000.0,698191900000.0,678858400000.0
2080.0,273273770000.0,815407760000.0,790179100000.0,648773400000.0,671629500000.0,646941640000.0
2081.0,263361460000.0,794195660000.0,765904700000.0,623272000000.0,638630100000.0,617866660000.0
2082.0,251812770000.0,759956400000.0,741414800000.0,599214200000.0,610435660000.0,585066300000.0
2083.0,234789500000.0,727324100000.0,724555140000.0,573783930000.0,579659960000.0,555772000000.0
2084.0,222728600000.0,702867800000.0,695058000000.0,548406230000.0,552044700000.0,529700100000.0
2085.0,211486160000.0,676913600000.0,672681750000.0,525069320000.0,528986770000.0,505671900000.0
2086.0,201138590000.0,651106900000.0,649521800000.0,502939520000.0,499002500000.0,479228600000.0
2087.0,188070660000.0,623694300000.0,626050470000.0,484315920000.0,475111300000.0,455496070000.0
2088.0,177460430000.0,601565600000.0,605969500000.0,461514240000.0,454162300000.0,431014670000.0
2089.0,166977010000.0,581419800000.0,582696200000.0,440764960000.0,429493130000.0,411120900000.0
2090.0,155452800000.0,557638200000.0,564275200000.0,420649730000.0,404408630000.0,390335300000.0
2091.0,146843200000.0,529742800000.0,545647950000.0,402453820000.0,379677380000.0,367395440000.0
2092.0,138395350000.0,508301480000.0,528087100000.0,388115960000.0,354361300000.0,344641500000.0
2093.0,131521870000.0,479971740000.0,505408650000.0,366507850000.0,326630670000.0,323699500000.0
2094.0,124108276000.0,458273360000.0,484721460000.0,345350440000.0,307760760000.0,304791750000.0
2095.0,118558980000.0,438142000000.0,461175030000.0,327838300000.0,289492730000.0,287437500000.0
2096.0,112507990000.0,416642760000.0,439328870000.0,312829770000.0,267337880000.0,271337620000.0
2097.0,105477080000.0,399041360000.0,420400730000.0,296541320000.0,251204440000.0,255193680000.0
2098.0,99989890000.0,376386000000.0,395371900000.0,280604970000.0,230407780000.0,236250700000.0
2099.0,94352930000.0,355101870000.0,374430270000.0,266242790000.0,212082790000.0,220123250000.0
2100.0,88896365000.0,331347130000.0,358995850000.0,246969570000.0,192816020000.0,208605280000.0
2101.0,85487665000.0,313237370000.0,344416300000.0,231467830000.0,178225450000.0,196578740000.0
2102.0,80738296000.0,297540420000.0,329649720000.0,215947510000.0,161203000000.0,182884880000.0
2103.0,76785254000.0,282388330000.0,316085170000.0,201682030000.0,147905230000.0,170683200000.0
2104.0,75528920000.0,266120890000.0,303256100000.0,184584450000.0,134615745000.0,160772000000.0
2105.0,73233100000.0,252087650000.0,289289140000.0,172212910000.0,122567030000.0,150595700000.0
2106.0,70451900000.0,236298000000.0,275669880000.0,161204600000.0,111606505000.0,141018040000.0
2107.0,67797664000.0,223162170000.0,263177800000.0,148554800000.0,101388170000.0,131987110000.0
2108.0,65378550000.0,209237130000.0,249741080000.0,139937580000.0,89763680000.0,124370400000.0
2109.0,62216737000.0,194282390000.0,235154060000.0,129159406000.0,79641390000.0,116683260000.0
2110.0,60856960000.0,182848500000.0,224530870000.0,120840410000.0,70983690000.0,110199180000.0
2111.0,59487404000.0,172857110000.0,215213260000.0,115837750000.0,63875564000.0,104943380000.0
2112.0,57136800000.0,162749890000.0,205182700000.0,107296350000.0,57514856000.0,100444210000.0
2113.0,55939817000.0,152121150000.0,195465670000.0,100994720000.0,52568875000.0,95547520000.0
2114.0,56068360000.0,141003240000.0,187123470000.0,94467150000.0,48259293000.0,92447420000.0
2115.0,54796270000.0,132056370000.0,177953670000.0,88896406000.0,44509204000.0,89798240000.0
2116.0,52321812000.0,123284930000.0,169538670000.0,81974010000.0,39846113000.0,85914710000.0
2117.0,50197066000.0,117308300000.0,159624720000.0,76822620000.0,36508510000.0,81834540000.0
2118.0,48485573000.0,109575910000.0,149644890000.0,72682670000.0,33678633000.0,79567380000.0
2119.0,47314063000.0,100528770000.0,140523060000.0,67692155000.0,31322591000.0,77474400000.0
2120.0,46392860000.0,93990180000.0,131914380000.0,64000713000.0,29477243000.0,73940810000.0
2121.0,44360876000.0,86943556000.0,125606896000.0,60984144000.0,27447857000.0,72322830000.0
2122.0,43522200000.0,81600220000.0,121776980000.0,57936070000.0,25135036000.0,70479190000.0
2123.0,43661103000.0,77007900000.0,116469590000.0,55138296000.0,22948604000.0,68216783000.0
2124.0,42373825000.0,71936520000.0,110811990000.0,52426117000.0,21519200000.0,65752117000.0
2125.0,40843567000.0,69142540000.0,105951580000.0,49724940000.0,20408793000.0,61606224000.0
2126.0,39042210000.0,64888254000.0,101465360000.0,47395516000.0,19187862000.0,58831446000.0
2127.0,37983250000.0,61909524000.0,97590450000.0,44176028000.0,18107257000.0,52941226000.0
2128.0,35957936000.0,59261410000.0,92668060000.0,42694685000.0,16683969000.0,49002963000.0
2129.0,35416654000.0,56026812000.0,89960050000.0,41435697000.0,15639035000.0,44929650000.0
2130.0,34013665000.0,54191620000.0,84184870000.0,40362280000.0,14447780000.0,40978334000.0
2131.0,33874993000.0,52015100000.0,80488645000.0,38993875000.0,13860775000.0,39184425000.0
2132.0,33607135000.0,49398190000.0,78547370000.0,37795865000.0,13417220000.0,33267296000.0
2133.0,33443516000.0,46751093000.0,74668770000.0,36355780000.0,12603897000.0,29910872000.0
2134.0,33516000000.0,45337838000.0,73017500000.0,35058917000.0,11952346000.0,25820905000.0
2135.0,32574400000.0,42865205000.0,69645430000.0,33895956000.0,10909446000.0,22193852000.0
2136.0,31736633000.0,41099457000.0,66336055000.0,32232667000.0,10340276000.0,19136162000.0
2137.0,30856540000.0,39918318000.0,63050890000.0,30785559000.0,9848537000.0,16961778000.0
2138.0,30610686000.0,39131095000.0,60654035000.0,29812220000.0,9372671000.0,14815885000.0
2139.0,29624076000.0,37550907000.0,59507053000.0,28398447000.0,8993699000.0,13347320000.0
2140.0,28507380000.0,36593500000.0,57180254000.0,27231402000.0,8303183000.0,12619420000.0
2141.0,27713700000.0,36090196000.0,55220960000.0,26027545000.0,7994516500.0,11053180000.0
2142.0,27277740000.0,34620645000.0,53134873000.0,24818174000.0,7687562000.0,9384056000.0
2143.0,26738770000.0,34305310000.0,49519370000.0,24023493000.0,7309261000.0,8137941500.0
2144.0,26426728000.0,33444305000.0,47667750000.0,23255497000.0,6945676300.0,7533327400.0
2145.0,25882837000.0,32712350000.0,45350880000.0,22446045000.0,6713450000.0,7050705000.0
2146.0,25057868000.0,31793121000.0,42318740000.0,21750706000.0,6439877600.0,6242141000.0
2147.0,24823700000.0,30230292000.0,40769790000.0,21036409000.0,6126488000.0,5518198000.0
2148.0,23722697000.0,29548798000.0,38498370000.0,19890723000.0,5841769500.0,5035521500.0
2149.0,23660036000.0,29057665000.0,37616603000.0,18790270000.0,5623609000.0,4583696400.0
2150.0,23109780000.0,28304570000.0,35874693000.0,18129177000.0,5344528400.0,4041609500.0
2151.0,22987640000.0,27249342000.0,34921353000.0,17653924000.0,5017289700.0,3565856800.0
2152.0,23483920000.0,27478608000.0,34313243000.0,17071225000.0,4928439000.0,3509293300.0
2153.0,23432163000.0,26815377000.0,32950563000.0,16655742000.0,4561517000.0,3234756400.0
2154.0,22762295000.0,25873322000.0,31885360000.0,16322646000.0,4433048600.0,3166992600.0
2155.0,22514580000.0,25495624000.0,30912799000.0,15779433000.0,4287016400.0,3056961000.0
2156.0,22133617000.0,24898384000.0,29990246000.0,15074601000.0,4166048000.0,2839082500.0
2157.0,21862322000.0,24147683000.0,29894816000.0,14602188000.0,4103417900.0,2543135000.0
2158.0,20961059000.0,23531290000.0,29339523000.0,14369303000.0,4003344600.0,2344156200.0
2159.0,20228798000.0,23083213000.0,28641540000.0,14155759000.0,3873390600.0,2187853000.0
2160.0,19410502000.0,22210163000.0,27851170000.0,13718706000.0,3700344800.0,2103830300.0
2161.0,19275276000.0,21892575000.0,27376355000.0,13612977000.0,3669905000.0,1969101000.0
2162.0,19559764000.0,21472170000.0,26659373000.0,13342595000.0,3571488800.0,1856806400.0
2163.0,19242960000.0,20923470000.0,25487374000.0,12835475000.0,3486235100.0,1760737300.0
2164.0,18769648000.0,21138342000.0,24581874000.0,12411455000.0,3415168000.0,1686734600.0
2165.0,18785022000.0,21061999000.0,24637090000.0,11975558000.0,3299052300.0,1637920500.0
2166.0,18569700000.0,21157163000.0,24371343000.0,11561164000.0,3227129900.0,1595200600.0
2167.0,18845125000.0,21034100000.0,23777171000.0,11482427000.0,3123169300.0,1577075100.0
2168.0,18785253000.0,20342830000.0,23468760000.0,11000180000.0,3048570600.0,1538044300.0
2169.0,19259908000.0,19903179000.0,23245122000.0,10703326000.0,2929983500.0,1406382600.0
2170.0,19221860000.0,19708963000.0,22277153000.0,10183990000.0,2819725000.0,1322485500.0
2171.0,19064562000.0,19798270000.0,22062086000.0,9819290000.0,2667890400.0,1325366500.0
2172.0,19246862000.0,19839347000.0,21544952000.0,9520105000.0,2602874000.0,1286874500.0
2173.0,18807073000.0,19319968000.0,21088790000.0,9353456000.0,2574069500.0,1244222000.0
2174.0,18441263000.0,19092677000.0,20857573000.0,9260804000.0,2450879200.0,1196132500.0
2175.0,18092569000.0,19429941000.0,20092150000.0,9103889000.0,2355057000.0,1139659600.0
2176.0,18387538000.0,19269190000.0,19428602000.0,8814242000.0,2256709400.0,1090899800.0
2177.0,17772982000.0,18773174000.0,19650700000.0,8659810000.0,2185455900.0,1033562560.0
2178.0,17966164000.0,18508640000.0,19352504000.0,8500656600.0,2108930600.0,1020783100.0
2179.0,17808228000.0,18528025000.0,19266785000.0,8178951700.0,2042116400.0,968759230.0
2180.0,17565528000.0,17998432000.0,18901844000.0,8052165600.0,2021252000.0,970035140.0
2181.0,17572436000.0,17351130000.0,18664086000.0,8056027000.0,1954197400.0,933243650.0
2182.0,17749866000.0,16665729000.0,18349564000.0,8006006000.0,1894244500.0,893012700.0
2183.0,17649082000.0,16362311000.0,18221350000.0,7726387000.0,1854491800.0,865764350.0
2184.0,16997657000.0,16207159000.0,17854409000.0,7431761000.0,1779138700.0,832833800.0
2185.0,16568793000.0,16426471000.0,17772765000.0,7246651400.0,1708633700.0,812524500.0
2186.0,16574190000.0,16058675000.0,17829001000.0,7123619000.0,1648616700.0,788356700.0
2187.0,16375896000.0,16091310000.0,17343635000.0,6995112000.0,1574858800.0,773374400.0
2188.0,16093721000.0,15800060000.0,17115512000.0,6858272300.0,1513520400.0,753527400.0
2189.0,15682464000.0,15699585000.0,17366348000.0,6788272000.0,1495774200.0,715530240.0
2190.0,15680532000.0,15326273000.0,16831449000.0,6673937000.0,1436708100.0,710201400.0
2191.0,15448944000.0,14953173000.0,16997469000.0,6541723600.0,1384642400.0,686883900.0
2192.0,15399965000.0,14633741000.0,16600455000.0,6496003000.0,1345444000.0,687033000.0
2193.0,15315421000.0,14636921000.0,16177047000.0,6429630000.0,1298805000.0,683604700.0
2194.0,15834229000.0,14154880000.0,15963891000.0,6346310700.0,1250314900.0,656732540.0
2195.0,15905202000.0,13978703000.0,15830332000.0,6247299600.0,1209886700.0,634061060.0
2196.0,15509957000.0,13649238000.0,15609907000.0,6238590000.0,1193498100.0,615404540.0
2197.0,15331663000.0,12855500000.0,15384263000.0,6114144000.0,1175933800.0,603769860.0
2198.0,15911229000.0,12065096000.0,15669549000.0,5963242000.0,1134982300.0,594813060.0
2199.0,15589574000.0,11911560000.0,15578605000.0,5941523000.0,1122846500.0,574382200.0
2200.0,15172723000.0,11788825000.0,15627826000.0,5795349000.0,1085755100.0,548278700.0
2201.0,15133234000.0,11371795000.0,15382548000.0,5590105600.0,1068798400.0,521439040.0
2202.0,15197956000.0,11176418000.0,15242284000.0,5363773000.0,1043272900.0,497275500.0
2203.0,14874101000.0,11156725000.0,14978007000.0,5153265700.0,1021875140.0,504286270.0
2204.0,14670890000.0,10825585000.0,14989590000.0,4985570300.0,1004517570.0,474590700.0
2205.0,14906715000.0,10489752000.0,14913280000.0,4821548000.0,1012281300.0,448216900.0
2206.0,14819695000.0,10824460000.0,14692667000.0,4791980500.0,981398400.0,435615940.0
2207.0,15000554000.0,10416915000.0,14232976000.0,4622117000.0,967001800.0,433693400.0
2208.0,14490556000.0,10126006000.0,14634392000.0,4598801000.0,951835970.0,424837120.0
2209.0,14284291000.0,10032273000.0,14103526000.0,4429484000.0,939431740.0,434655200.0
2210.0,13961766000.0,9848337000.0,14049820000.0,4329434000.0,929060200.0,409774400.0
2211.0,13713721000.0,9621573000.0,14219551000.0,4365339000.0,912890940.0,398256300.0
2212.0,13291389000.0,9452739000.0,13634517000.0,4308921300.0,912192600.0,376430820.0
2213.0,13375934000.0,9164766000.0,13566817000.0,4302954000.0,895723970.0,365677570.0
2214.0,13717920000.0,8686939000.0,13356141000.0,4310369300.0,876606300.0,371386100.0
2215.0,13872696000.0,8487564300.0,13401563000.0,4325771000.0,849469900.0,363451100.0
2216.0,14173397000.0,8325625300.0,12927365000.0,4318960600.0,835470300.0,368028400.0
2217.0,14338354000.0,8140854300.0,12734380000.0,4220191200.0,826917200.0,360796740.0
2218.0,14265025000.0,7916225500.0,12936154000.0,4190216700.0,824980700.0,339411780.0
2219.0,14149470000.0,7994708000.0,12609069000.0,4170524200.0,816584300.0,335905120.0
2220.0,14041391000.0,7997053400.0,12457900000.0,4147618300.0,800235840.0,325685500.0
2221.0,14058015000.0,7796686300.0,12512713000.0,4106704100.0,795553660.0,317995620.0
2222.0,14197553000.0,7724072400.0,12179882000.0,4021266200.0,773471360.0,303817630.0
2223.0,14515590000.0,7568338000.0,12275265000.0,3988636700.0,763788800.0,299215400.0
2224.0,14168813000.0,7480383000.0,12285658000.0,3929494000.0,756122700.0,291977250.0
2225.0,14259310000.0,7512916500.0,12523923000.0,3906008800.0,749010900.0,290190180.0
2226.0,14306771000.0,7387764000.0,12421446000.0,3865050600.0,740905100.0,283411800.0
2227.0,14248374000.0,7358444000.0,12422501000.0,3837810000.0,718484600.0,278967520.0
2228.0,14079488000.0,7328149000.0,12168247000.0,3882266600.0,704133760.0,262296080.0
2229.0,14271107000.0,7332357600.0,11925010000.0,3852249300.0,692972160.0,259456700.0
2230.0,14382596000.0,7196194300.0,11775842000.0,3794235600.0,681013760.0,257841010.0
2231.0,14502529000.0,6829811000.0,11449044000.0,3663803400.0,679340160.0,252373440.0
2232.0,14677181000.0,6853741600.0,11622762000.0,3564247300.0,667632260.0,248795070.0
2233.0,14580435000.0,6689621000.0,11464674000.0,3496083200.0,655709700.0,237040240.0
2234.0,14969962000.0,6471388700.0,11168847000.0,3407995600.0,643804700.0,227533740.0
2235.0,14905183000.0,6479682600.0,11364624000.0,3371132700.0,631386300.0,219737010.0
2236.0,14550325000.0,6350458000.0,11283426000.0,3303666400.0,626334500.0,211195780.0
2237.0,14500663000.0,6479195600.0,11457095000.0,3273267200.0,605424400.0,207225540.0
2238.0,14368416000.0,6439385000.0,11395195000.0,3222486800.0,596448300.0,204489620.0
2239.0,13952555000.0,6202639400.0,11386495000.0,3150850600.0,578334500.0,200704400.0
2240.0,13782282000.0,6079002000.0,11469314000.0,3109087000.0,566503550.0,201845900.0
2241.0,13820010000.0,6015112000.0,11256670000.0,3113168100.0,573224400.0,204738080.0
2242.0,13701140000.0,6080424400.0,11440871000.0,3086421500.0,571857200.0,201396420.0
2243.0,13722267000.0,5992021500.0,11304490000.0,3052645600.0,570243140.0,195761630.0
2244.0,13810076000.0,6101334000.0,11045418000.0,3002257700.0,559559740.0,192223500.0
2245.0,13875128000.0,6100238300.0,10878212000.0,2965100500.0,561485600.0,188396200.0
2246.0,14141159000.0,6146851300.0,11001855000.0,2917437400.0,564018050.0,187997220.0
2247.0,14430471000.0,6122281000.0,10929851000.0,2861665500.0,557298900.0,183496200.0
2248.0,13857869000.0,6127795000.0,10840013000.0,2841507300.0,554056770.0,179799680.0
2249.0,14172371000.0,6074688000.0,10639319000.0,2813052400.0,560907140.0,175683490.0
2250.0,14422548000.0,6069866000.0,10632942000.0,2801521200.0,564081800.0,171352660.0
2251.0,14326006000.0,6085062000.0,10567031000.0,2775899000.0,560066750.0,172904160.0
2252.0,14442770000.0,6014959000.0,10731801000.0,2712664800.0,548600770.0,171708530.0
2253.0,14255304000.0,5922895000.0,10758883000.0,2690442800.0,546559170.0,173863840.0
2254.0,14376099000.0,5937700000.0,10942121000.0,2686790100.0,560313600.0,172149060.0
2255.0,14090431000.0,5882578400.0,10760610000.0,2658706700.0,566336500.0,168225740.0
2256.0,14025769000.0,6054635000.0,10729800000.0,2661011200.0,576767600.0,167803740.0
2257.0,13975798000.0,5963672600.0,10796230000.0,2642742300.0,571185340.0,167924660.0
2258.0,13801187000.0,5952575000.0,10407297000.0,2581611500.0,563195800.0,164342530.0
2259.0,13820944000.0,5958203000.0,10509216000.0,2560479700.0,553549600.0,172728030.0
2260.0,13667404000.0,5981758500.0,10365108000.0,2577372700.0,555312960.0,167858420.0
2261.0,13351892000.0,5874066000.0,10199036000.0,2604023600.0,554014500.0,164534900.0
2262.0,13167038000.0,5877035000.0,10099397000.0,2636789800.0,555650100.0,165493970.0
2263.0,13007088000.0,5831156000.0,10111422000.0,2675414000.0,561224700.0,161778780.0
2264.0,13156556000.0,5850994700.0,10302203000.0,2676927500.0,554857600.0,157853310.0
2265.0,13137046000.0,5912749600.0,10497997000.0,2672369000.0,548241900.0,155505700.0
2266.0,13005326000.0,5936992000.0,10660759000.0,2683011600.0,554568200.0,153730420.0
2267.0,13054842000.0,5935938600.0,10485844000.0,2731801300.0,555690900.0,149338130.0
2268.0,13018757000.0,5920253400.0,10361623000.0,2728000300.0,549975940.0,143318830.0
2269.0,13044716000.0,5779821600.0,10296845000.0,2736453600.0,544178900.0,142197250.0
2270.0,13244092000.0,5799409700.0,10435546000.0,2772230000.0,536068350.0,156311780.0
2271.0,13196443000.0,5715775500.0,10364090000.0,2744123600.0,540910400.0,138766990.0
2272.0,13088641000.0,5687674400.0,10457994000.0,2726585600.0,533285300.0,138506460.0
2273.0,13404250000.0,5690784300.0,10649713000.0,2742578700.0,522574430.0,136221150.0
2274.0,13550457000.0,5713521700.0,10743800000.0,2720759800.0,517623650.0,135762880.0
2275.0,13676664000.0,5687955500.0,11054930000.0,2731354400.0,515643040.0,149371410.0
2276.0,13425892000.0,5627165700.0,10911574000.0,2745232000.0,513541150.0,148193310.0
2277.0,13157963000.0,5551392000.0,11108225000.0,2735560700.0,514795550.0,140307540.0
2278.0,13224002000.0,5469837300.0,10891795000.0,2785100500.0,512188400.0,138081250.0
2279.0,13045524000.0,5485151000.0,11039287000.0,2736961300.0,511369400.0,135818350.0
2280.0,13031545000.0,5501966000.0,10955277000.0,2742029000.0,501097700.0,137764900.0
2281.0,12701362000.0,5436185600.0,10780773000.0,2725625900.0,503128830.0,136061890.0
2282.0,13308060000.0,5425385000.0,10816601000.0,2660627700.0,507819780.0,134785500.0
2283.0,13388728000.0,5369915000.0,10837808000.0,2659362000.0,509876100.0,131469730.0
2284.0,13344907000.0,5371192000.0,10718412000.0,2704768800.0,515754850.0,127968710.0
2285.0,13548681000.0,5394537000.0,10711581000.0,2699922400.0,515374620.0,136133040.0
2286.0,13635506000.0,5398144500.0,10538899000.0,2738122500.0,525460640.0,133286104.0
2287.0,13477746000.0,5279341000.0,10600281000.0,2730514700.0,527114750.0,130787220.0
2288.0,13516165000.0,5267497000.0,10815856000.0,2806753300.0,512784670.0,128133490.0
2289.0,13642373000.0,5259739600.0,11116004000.0,2783358500.0,515110900.0,127734830.0
